definition2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
pig,0.17,0.21,0.37,0.49,0.48,0.5,0.65,0.74,0.77,0.82,0.82,0.8,0.95,0.92,0.95
pony,0.03,0.02,0.06,0.12,0.14,0.22,0.28,0.24,0.31,0.34,0.43,0.46,0.59,0.51,0.58
puppy,0.22,0.21,0.4,0.49,0.48,0.54,0.64,0.7,0.73,0.78,0.82,0.77,0.9,0.84,0.93
rooster,0.02,0.02,0.05,0.09,0.11,0.15,0.22,0.24,0.32,0.36,0.43,0.48,0.62,0.44,0.61
sheep,0.08,0.11,0.22,0.32,0.32,0.35,0.46,0.52,0.6,0.67,0.69,0.68,0.85,0.72,0.85
squirrel,0.05,0.06,0.17,0.2,0.24,0.27,0.36,0.42,0.49,0.55,0.57,0.64,0.75,0.73,0.8
teddybear,0.15,0.12,0.23,0.31,0.32,0.34,0.48,0.56,0.54,0.66,0.7,0.71,0.87,0.8,0.85
tiger,0.08,0.09,0.19,0.23,0.25,0.3,0.42,0.53,0.57,0.6,0.68,0.69,0.84,0.75,0.88
turkey,0.04,0.03,0.09,0.16,0.17,0.22,0.32,0.32,0.4,0.44,0.49,0.5,0.66,0.56,0.72
turtle,0.11,0.13,0.25,0.34,0.35,0.4,0.48,0.59,0.66,0.7,0.69,0.7,0.88,0.82,0.91
wolf,0.02,0.01,0.08,0.06,0.09,0.11,0.12,0.23,0.28,0.32,0.38,0.39,0.57,0.43,0.58
zebra,0.04,0.08,0.15,0.2,0.22,0.22,0.36,0.43,0.5,0.52,0.61,0.57,0.78,0.69,0.81
airplane,0.22,0.21,0.41,0.48,0.54,0.57,0.7,0.74,0.79,0.85,0.9,0.92,0.96,0.91,0.97
bicycle,0.13,0.15,0.29,0.41,0.4,0.51,0.6,0.67,0.69,0.76,0.81,0.84,0.92,0.89,0.96
boat,0.18,0.22,0.4,0.48,0.52,0.51,0.68,0.73,0.76,0.8,0.85,0.86,0.95,0.86,0.95
bus,0.16,0.2,0.32,0.47,0.46,0.55,0.72,0.77,0.76,0.79,0.82,0.87,0.92,0.9,0.96
car,0.39,0.47,0.66,0.75,0.73,0.78,0.86,0.91,0.91,0.94,0.93,0.95,0.98,0.97,0.99
firetruck,0.05,0.03,0.13,0.2,0.22,0.3,0.42,0.47,0.55,0.65,0.62,0.66,0.83,0.77,0.88
helicopter,0.04,0.04,0.1,0.16,0.17,0.26,0.34,0.44,0.5,0.59,0.62,0.69,0.79,0.65,0.83
motorcycle,0.03,0.04,0.1,0.14,0.15,0.25,0.34,0.44,0.45,0.54,0.59,0.65,0.78,0.71,0.8
sled,0.01,0.06,0.07,0.1,0.13,0.22,0.24,0.3,0.24,0.29,0.31,0.38,0.38,0.45,0.53
stroller,0.06,0.05,0.16,0.21,0.22,0.18,0.28,0.34,0.49,0.55,0.54,0.54,0.83,0.54,0.79
tractor,0.06,0.09,0.16,0.19,0.23,0.28,0.42,0.44,0.48,0.51,0.5,0.61,0.73,0.61,0.73
train,0.12,0.17,0.34,0.41,0.49,0.48,0.69,0.74,0.79,0.8,0.86,0.88,0.95,0.9,0.97
tricycle,0.01,0.03,0.04,0.05,0.09,0.1,0.2,0.18,0.26,0.31,0.35,0.38,0.5,0.42,0.57
truck,0.29,0.33,0.51,0.58,0.62,0.65,0.78,0.81,0.85,0.87,0.93,0.91,0.97,0.93,0.97
ball,0.77,0.79,0.9,0.91,0.95,0.94,0.96,0.98,0.96,0.97,0.98,0.98,0.99,0.98,0.99
balloon,0.47,0.4,0.6,0.65,0.69,0.71,0.8,0.85,0.87,0.89,0.92,0.94,0.98,0.93,0.98
bat,0.06,0.07,0.13,0.19,0.17,0.24,0.3,0.38,0.42,0.47,0.54,0.52,0.76,0.62,0.71
block,0.19,0.22,0.37,0.42,0.45,0.49,0.59,0.65,0.67,0.71,0.76,0.81,0.9,0.8,0.93
book,0.52,0.52,0.71,0.8,0.83,0.8,0.82,0.92,0.91,0.92,0.94,0.96,0.98,0.95,0.97
bubbles,0.36,0.38,0.58,0.63,0.67,0.65,0.8,0.85,0.86,0.89,0.91,0.92,0.97,0.92,0.98
chalk,0.02,0.03,0.07,0.12,0.11,0.19,0.28,0.29,0.36,0.4,0.4,0.47,0.64,0.54,0.69
crayon,0.05,0.09,0.22,0.29,0.31,0.35,0.53,0.53,0.65,0.71,0.72,0.76,0.88,0.8,0.94
doll,0.18,0.22,0.35,0.39,0.45,0.47,0.58,0.56,0.63,0.68,0.75,0.74,0.86,0.76,0.88
game,0.01,0.03,0.06,0.12,0.12,0.19,0.3,0.3,0.41,0.43,0.46,0.58,0.74,0.68,0.82
glue,0,0,0.03,0.05,0.05,0.06,0.1,0.12,0.19,0.25,0.29,0.38,0.51,0.45,0.59
pen,0.07,0.1,0.19,0.25,0.3,0.4,0.44,0.54,0.55,0.62,0.69,0.69,0.83,0.73,0.86
pencil,0.03,0.03,0.12,0.18,0.18,0.27,0.31,0.35,0.46,0.53,0.59,0.61,0.8,0.72,0.84
play dough,0.01,0.03,0.07,0.08,0.12,0.18,0.26,0.29,0.37,0.46,0.46,0.5,0.65,0.59,0.73
present,0.01,0.03,0.05,0.1,0.13,0.17,0.34,0.37,0.51,0.56,0.59,0.65,0.81,0.7,0.85
puzzle,0.03,0.04,0.15,0.21,0.2,0.26,0.38,0.43,0.57,0.62,0.63,0.71,0.85,0.75,0.88
story,0.03,0.06,0.12,0.18,0.18,0.28,0.36,0.42,0.53,0.54,0.61,0.66,0.81,0.73,0.84
toy,0.13,0.15,0.32,0.42,0.44,0.51,0.58,0.68,0.71,0.77,0.84,0.84,0.94,0.88,0.96
apple,0.33,0.43,0.58,0.62,0.68,0.72,0.86,0.88,0.87,0.9,0.92,0.95,0.98,0.95,0.97
applesauce,0.05,0.05,0.14,0.15,0.23,0.28,0.38,0.45,0.48,0.5,0.55,0.57,0.73,0.65,0.84
banana,0.52,0.56,0.66,0.73,0.76,0.77,0.87,0.9,0.87,0.91,0.92,0.93,0.98,0.94,0.97
beans,0.07,0.1,0.21,0.26,0.28,0.38,0.4,0.45,0.51,0.51,0.66,0.62,0.78,0.62,0.82
bread,0.15,0.14,0.3,0.38,0.41,0.49,0.58,0.64,0.7,0.77,0.8,0.84,0.93,0.9,0.94
butter,0.04,0.05,0.12,0.19,0.24,0.3,0.43,0.44,0.52,0.59,0.65,0.71,0.82,0.73,0.85
cake,0.08,0.1,0.25,0.32,0.36,0.4,0.58,0.63,0.76,0.77,0.81,0.84,0.92,0.89,0.93
candy,0.07,0.12,0.23,0.33,0.35,0.41,0.5,0.59,0.66,0.74,0.81,0.79,0.92,0.87,0.93
carrots,0.06,0.07,0.2,0.23,0.26,0.35,0.42,0.47,0.58,0.62,0.69,0.69,0.86,0.8,0.91
cereal,0.11,0.14,0.3,0.37,0.38,0.49,0.52,0.63,0.69,0.74,0.81,0.77,0.92,0.86,0.94
cheerios,0.16,0.19,0.27,0.29,0.34,0.4,0.48,0.52,0.52,0.6,0.64,0.69,0.79,0.74,0.84
cheese,0.36,0.41,0.57,0.64,0.69,0.67,0.78,0.84,0.87,0.86,0.91,0.93,0.96,0.92,0.97
chicken_food,0.08,0.09,0.24,0.3,0.36,0.45,0.54,0.56,0.64,0.73,0.74,0.82,0.9,0.84,0.91
chocolate,0.03,0.04,0.11,0.14,0.21,0.23,0.38,0.41,0.5,0.53,0.59,0.68,0.79,0.74,0.87
